Time,Wind(knotsbft),Gust(knotsbft),Wind Direction(deg)
08/14 10:59:50,0,0,64
08/14 11:01:50,0,0,64
08/14 11:03:50,0.2,1.1,64
08/14 11:05:50,0.2,1.1,64
08/14 11:07:50,0,0,64
08/14 11:09:50,0.2,1.1,64
08/14 11:11:50,0.7,1.1,64
08/14 11:13:50,0,0,64
08/14 11:15:50,0.4,1.1,64
08/14 11:17:50,0,0,64
08/14 11:19:50,0,0,64
08/14 11:21:50,0,0,64
08/14 11:23:50,0,0,64
08/14 11:25:50,1.8,2.2,64
08/14 11:27:50,0.7,1.1,65
08/14 11:29:50,0.7,1.1,65
08/14 11:31:50,0.4,1.1,65
08/14 11:33:50,0,0,65
08/14 11:35:50,0.2,1.1,65
08/14 11:37:50,1.1,1.1,65
08/14 11:39:50,0,0,65
08/14 11:41:50,0,0,65
08/14 11:43:50,1.1,1.1,64
08/14 11:45:50,0.7,1.1,65
08/14 11:47:50,1.1,1.1,65
08/14 11:49:50,0.4,1.1,65
08/14 11:51:50,0.9,1.1,65
08/14 11:53:50,0,0,65
08/14 11:55:50,0.2,1.1,65
08/14 11:57:50,0,0,65
08/14 11:59:50,0.7,1.1,65
08/14 12:01:50,0,0,65
08/14 12:03:50,0.9,2.2,65
08/14 12:05:50,0.7,1.1,65
08/14 12:07:50,0.2,1.1,65
08/14 12:09:50,0,0,65
08/14 12:11:50,0.2,1.1,65
08/14 12:13:50,0.9,1.1,65
08/14 12:15:50,0,0,65
08/14 12:17:50,0,0,65
08/14 12:19:50,0,0,65
08/14 12:21:50,0.9,1.1,65
08/14 12:23:50,0.9,1.1,65
08/14 12:25:50,0.2,1.1,65
08/14 12:27:50,0,0,65
08/14 12:29:50,0.4,1.1,65
08/14 12:31:50,0,0,65
08/14 12:33:50,0,0,65
08/14 12:35:50,0.9,1.1,65
08/14 12:37:50,0.9,1.1,65
08/14 12:39:50,0,0,65
08/14 12:41:50,0.9,1.1,65
08/14 12:43:50,0.2,1.1,65
08/14 12:45:50,0.7,1.1,65
08/14 12:47:50,0.2,1.1,65
08/14 12:49:50,0.7,1.1,65
08/14 12:51:50,0.4,1.1,65
08/14 12:53:50,0.7,1.1,65
08/14 12:55:50,0.4,1.1,65
08/14 12:57:50,0.7,1.1,65
08/14 12:59:50,0.9,1.1,65
08/14 13:01:50,0.2,1.1,65
08/14 13:03:50,0.2,1.1,65
08/14 13:05:50,0.9,1.1,65
08/14 13:07:50,0,0,65
08/14 13:09:50,0.4,1.1,65
08/14 13:11:50,1.1,1.1,65
08/14 13:13:50,0.4,1.1,65
08/14 13:15:50,0.2,1.1,65
08/14 13:17:50,1.1,1.1,65
08/14 13:19:50,1.8,2.2,66
08/14 13:21:50,0.9,1.1,65
08/14 13:23:50,1.3,2.2,65
08/14 13:25:50,2.5,3.4,65
08/14 13:27:50,0.2,1.1,65
08/14 13:29:50,0,0,65
08/14 13:31:50,0.9,1.1,65
08/14 13:33:50,0.4,1.1,65
08/14 13:35:50,0.7,2.2,65
08/14 13:37:50,2.5,3.4,111
08/14 13:39:50,1.1,1.1,111
08/14 13:41:50,0.7,1.1,111
08/14 13:43:50,0.4,1.1,112
08/14 13:45:50,0.7,1.1,112
08/14 13:47:50,0.2,1.1,112
08/14 13:49:50,1.1,1.1,112
08/14 13:51:50,0,0,112
08/14 13:53:50,0.2,1.1,112
08/14 13:55:50,0.9,1.1,111
08/14 13:57:50,0.9,1.1,111
08/14 13:59:50,1.3,2.2,111
08/14 14:01:50,0.2,1.1,111
08/14 14:03:50,0.2,1.1,111
08/14 14:05:50,0.4,1.1,112
08/14 14:07:50,0.4,1.1,111
08/14 14:09:50,0.9,1.1,111
08/14 14:11:50,1.3,2.2,111
08/14 14:13:50,0.7,1.1,112
08/14 14:15:50,1.3,2.2,112
08/14 14:17:50,0,0,112
08/14 14:19:50,1.1,1.1,113
08/14 14:21:50,0,0,113
08/14 14:23:50,0,0,113
08/14 14:25:50,1.1,2.2,113
08/14 14:27:50,0.4,1.1,113
08/14 14:29:50,0.9,2.2,112
08/14 14:31:50,1.6,2.2,112
08/14 14:33:50,0.7,1.1,112
08/14 14:35:50,0.2,1.1,113
08/14 14:37:50,0.7,1.1,113
08/14 14:39:50,1.3,2.2,113
08/14 14:41:50,0.9,1.1,113
08/14 14:43:50,0.9,1.1,96
08/14 14:45:50,0.2,1.1,97
08/14 14:47:50,1.8,2.2,95
08/14 14:49:50,0,0,95
08/14 14:51:50,1.1,1.1,95
08/14 14:53:50,0.9,1.1,94
08/14 14:55:50,0.9,1.1,94
08/14 14:57:50,0.9,1.1,94
08/14 14:59:50,0.7,2.2,94
08/14 15:01:50,0,0,94
08/14 15:03:50,3.4,4.5,51
08/14 15:05:50,1.3,2.2,49
08/14 15:07:50,1.6,2.2,51
08/14 15:09:50,0,0,51
08/14 15:11:50,0.2,1.1,243
08/14 15:13:50,0.7,1.1,244
08/14 15:15:50,1.3,2.2,244
08/14 15:17:50,0,0,246
08/14 15:19:50,0.9,1.1,315
08/14 15:21:50,0.7,1.1,41
08/14 15:23:50,1.1,1.1,41
08/14 15:25:50,0.7,1.1,41
08/14 15:27:50,0.4,1.1,41
08/14 15:29:50,1.1,1.1,41
08/14 15:31:50,0.7,2.2,41
08/14 15:33:50,1.3,2.2,51
08/14 15:35:50,0.4,1.1,323
08/14 15:37:50,0.7,1.1,313
08/14 15:39:50,0,0,313
08/14 15:41:50,1.6,1.9,36
08/14 15:43:50,1.6,1.9,36
08/14 15:45:50,1.6,1.9,35
08/14 15:47:50,0.8,1,35
08/14 15:49:50,0,0,35
08/14 15:51:50,0.8,1,36
08/14 15:53:50,0.6,1,36
08/14 15:55:50,0.6,1,36
08/14 15:57:50,0.6,1,36
08/14 15:59:50,0.8,1,36
08/14 16:01:50,1,1.9,35
08/14 16:03:50,0.6,1,72
08/14 16:05:50,0,0,72
08/14 16:07:50,0,0,50
08/14 16:09:50,0,0,50
08/14 16:11:50,0.8,1,54
08/14 16:13:50,0,0,55
08/14 16:15:50,0,0,54
08/14 16:17:50,0,0,54
08/14 16:19:50,0,0,53
08/14 16:21:50,0,0,53
08/14 16:23:50,0,0,6
08/14 16:25:50,0,0,8
08/14 16:27:50,0,0,8
08/14 16:29:50,0,0,8
08/14 16:31:50,0,0,8
08/14 16:33:50,0,0,8
08/14 16:35:50,0,0,15
08/14 16:37:50,0,0,15
08/14 16:39:50,0,0,15
08/14 16:41:50,0,0,15
08/14 16:43:50,1.6,2.9,26
08/14 16:45:50,0,0,206
08/14 16:47:50,0,0,206
08/14 16:49:50,0,0,327
08/14 16:51:50,0,0,5
08/14 16:53:50,0,0,5
08/14 16:55:50,0,0,5
08/14 16:57:50,0,0,5
08/14 16:59:50,0,0,5
08/14 17:01:50,0,0,5
08/14 17:03:50,0,0,5
08/14 17:05:50,6.2,8.9,341
08/14 17:07:50,2.1,2.9,350
08/14 17:09:50,0.6,1,350
08/14 17:11:50,0.8,1,350
08/14 17:13:50,0,0,350
08/14 17:15:50,0.8,1,351
08/14 17:17:50,0.8,1,351
08/14 17:19:50,1.6,1.9,326
08/14 17:21:50,1.4,1.9,335
08/14 17:23:50,0.6,1,353
08/14 17:25:50,0.2,1,340
08/14 17:27:50,0.6,1,209
08/14 17:29:50,1.6,1.9,206
08/14 17:31:50,2.1,2.9,90
08/14 17:33:50,3.3,3.9,31
08/14 17:35:50,0.2,1,67
08/14 17:37:50,1.4,1.9,67
08/14 17:39:50,2.7,3.9,348
08/14 17:41:50,1.4,1.9,330
08/14 17:43:50,2.1,2.9,252
08/14 17:45:50,2.3,2.9,254
08/14 17:47:50,6.4,8,278
08/14 17:49:50,2.9,2.9,283
08/14 17:51:50,7.6,8,299
08/14 17:53:50,3.3,3.9,263
08/14 17:55:50,5.6,7,254
08/14 17:57:50,3.9,5.1,284
08/14 17:59:50,5.6,8,267
08/14 18:01:50,6.4,8,300
08/14 18:03:50,3.7,5.1,326
08/14 18:05:50,3.9,5.1,323
08/14 18:07:50,2.5,2.9,285
08/14 18:09:50,2.3,2.9,300
08/14 18:11:50,2.1,2.9,299
08/14 18:13:50,1.6,1.9,300
08/14 18:15:50,4.3,6,288
08/14 18:17:50,3.7,5.1,305
08/14 18:19:50,3.5,3.9,307
08/14 18:21:50,3.9,3.9,337
08/14 18:23:50,2.5,2.9,291
08/14 18:25:50,1,1,292
08/14 18:27:50,2.9,2.9,318
08/14 18:29:50,1,1,318
08/14 18:31:50,2.1,2.9,318
08/14 18:33:50,2.7,3.9,318
08/14 18:35:50,5.2,6,317
08/14 18:37:50,5.8,8,304
08/14 18:39:50,6.4,8,309
08/14 18:41:50,6.8,8,327
08/14 18:43:50,5.4,6,269
08/14 18:45:50,5.4,6,302
08/14 18:47:50,2.1,3.9,285
08/14 18:49:50,3.1,3.9,285
08/14 18:51:50,4.3,5.1,308
08/14 18:53:50,5.6,7,282
08/14 18:55:50,6,7,314
08/14 18:57:50,5.1,6,325
08/14 18:59:50,4.3,5.1,339
08/14 19:01:50,7,8,35
08/14 19:03:50,5.6,7,15
08/14 19:05:50,5.2,7,13
08/14 19:07:50,7.4,8.9,329
08/14 19:09:50,9.7,10.9,38
08/14 19:11:50,6.8,8.9,40
08/14 19:13:50,8.2,9.9,32
08/14 19:15:50,3.1,5.1,68
08/14 19:17:50,5.1,6,55
08/14 19:19:50,6,7,7
08/14 19:21:50,6.2,8,40
08/14 19:23:50,5.4,6,19
08/14 19:25:50,5.2,6,13
08/14 19:27:50,5.2,7,49
08/14 19:29:50,5.4,7,30
08/14 19:31:50,6.4,7,357
08/14 19:33:50,5.1,6,31
08/14 19:35:50,3.9,3.9,57
08/14 19:37:50,5.2,6,45
08/14 19:39:50,6,8,29
08/14 19:41:50,4.5,5.1,24
08/14 19:43:50,6.6,8,40
08/14 19:45:50,6,7,36
08/14 19:47:50,5.2,7,58
08/14 19:49:50,6.4,8.9,42
08/14 19:51:50,6,7,35
08/14 19:53:50,2.9,3.9,53
08/14 19:55:50,3.9,5.1,30
08/14 19:57:50,5.6,6,30
08/14 19:59:50,5.6,7,3
08/14 20:01:50,3.5,5.1,41
08/14 20:03:50,5.1,6,36
08/14 20:05:50,4.7,6,358
08/14 20:07:50,3.5,3.9,32
08/14 20:09:50,5.6,7,6
